# x, y, z, vx, vy, vz, species
13.0637 2.83952 12.4294 0.0481537 0.0079162 0.0126486 0
5.33919 2.2856 10.4146 1.58155e-06 -1.04358e-05 0.000103686 1
15.2106 0.139784 15.8886 0.034428 0.0141059 0.000478629 0
0.740799 15.5782 3.72474 -0.000621696 -0.000224345 1.7877e-05 1
6.25351 15.7683 7.50716 0.0352407 0.0151355 0.0167065 0
15.0746 9.01007 6.16847 -6.06037e-05 -0.000244182 0.000178274 1
9.9095 13.3304 2.93397 0.0420933 0.0168305 0.00758045 0
3.326 9.08602 0.500603 -0.000120975 0.000282913 -3.78618e-05 1
5.93788 14.8316 11.4492 -0.0426783 -0.0304097 -0.0483309 0
13.5138 11.9573 8.63614 0.000126125 1.72365e-05 0.000102946 1
9.43307 4.37508 4.61989 -0.00716647 0.0433813 0.0151185 0
12.6443 9.69594 14.8224 0.00014877 6.07525e-05 0.000158334 1
13.8173 7.4417 1.73796 0.0479831 0.017211 0.0415403 0
4.39778 8.98171 6.12478 0.000246287 0.000201454 -0.000173354 1
4.13927 0.641762 11.5834 0.0269819 0.0545095 0.00677967 0
7.60644 9.01 11.1289 8.02954e-05 -0.000211466 6.08994e-05 1
8.67214 3.59249 15.2892 0.0768094 0.019106 0.0384666 0
4.7309 1.68474 7.30364 8.89602e-05 -0.00029756 -8.62326e-05 1
14.0684 5.57307 1.97262 -0.0475447 0.0734844 0.0129003 0
0.0103556 5.63819 4.87681 0.000215394 -0.000289153 3.41985e-05 1
7.70057 11.3358 4.13743 -0.0196146 0.0697913 -0.00155518 0
6.46204 1.03578 4.06453 5.47182e-05 -0.000259735 0.000183774 1
11.4162 2.30544 15.81 0.00320076 -0.007769 -0.0299805 0
10.8942 8.49782 7.16959 0.000283559 0.000292229 0.000512452 1
1.59363 6.1193 3.80443 0.0708748 0.067902 0.0159454 0
13.0628 12.7737 2.41604 -1.98183e-05 1.26338e-06 0.000463195 1
13.8727 5.03962 3.78686 0.0372177 -0.0706149 0.0424279 0
15.0467 6.36337 8.28517 -0.000156551 0.000226969 0.000117504 1
11.8097 3.09943 8.74669 -0.000269368 -0.0555455 0.036274 0
15.9361 15.4472 8.93235 -0.000378999 6.55551e-05 -2.77907e-05 1
4.26576 11.0106 13.489 0.00923147 0.0159928 -0.0399972 0
5.95835 15.0396 15.5762 0.000154358 -0.000256994 -0.000241687 1
7.84245 7.11482 15.9001 0.0287523 0.0222254 0.0330777 0
11.5381 4.92937 8.68594 0.00030391 4.00852e-05 0.00053096 1
4.07235 9.42327 15.711 0.0174919 -0.0362377 0.0229009 0
10.3171 10.6991 13.8267 -0.00044883 -0.000364077 -7.90943e-07 1
9.16356 12.3708 0.700676 -0.000291064 0.0110268 -0.00202494 0
11.9649 15.2528 5.29714 0.000127984 0.000378634 0.000569143 1
15.8695 1.03974 4.87949 0.060453 -0.0130601 -0.0107868 0
6.30968 13.5106 14.8776 -0.000524957 0.000318985 -0.000274405 1
4.12271 4.72814 5.00925 0.00362936 0.00507671 -0.0038258 0
4.09771 9.78401 1.30424 -0.000157059 -1.46196e-05 -0.000123171 1
14.1748 0.362138 9.28547 0.0107244 -0.0300189 0.0128427 0
15.7074 13.4185 13.7673 -0.000206809 -0.000442528 7.25291e-05 1
5.23757 13.2766 4.32032 0.000664211 0.0156035 -0.00413006 0
6.58057 11.1876 2.21072 -0.000128674 -0.000438869 -0.000270883 1
11.89 3.97978 2.9819 0.0142316 0.0138377 0.0145648 0
14.6426 7.07896 3.83702 -8.17839e-05 0.000131299 3.67859e-05 1
8.54973 10.4811 6.8248 0.038725 -0.00490861 -0.0353591 0
1.46801 1.50909 4.98123 -6.06265e-05 0.000269281 -0.000156899 1
7.38709 10.4686 0.820123 -0.0554333 0.026148 0.0167823 0
9.85807 15.1044 15.1089 0.000437297 0.000212024 9.46974e-05 1
12.9389 10.7836 9.27952 0.0307709 -1.23846e-05 0.00326852 0
13.1278 10.4222 3.30491 9.01576e-05 -0.000142982 -0.000201592 1
