# x, y, z, vx, vy, vz, species
12.7846 2.90941 12.4676 0.0190749 -0.0136863 0.00336039 0
5.3393 2.2858 10.4143 -2.11937e-05 -3.55876e-05 2.1677e-05 1
15.0287 0.0225667 15.8863 -0.00217737 0.00391693 0.00530456 0
0.745513 15.5797 3.72445 -0.000567674 -0.000183971 5.48358e-05 1
6.12654 15.7387 7.46934 0.00010365 0.00247166 0.00251806 0
15.0751 9.0121 6.16703 -6.94578e-05 -0.000257713 0.000185373 1
9.75177 13.3117 2.80212 -0.00452487 -0.00828471 0.0123945 0
3.32686 9.08377 0.500932 -0.000100205 0.000282204 -3.81544e-05 1
6.29691 14.8386 11.6357 -0.00636868 0.0044473 -0.000620962 0
13.5128 11.9572 8.63529 0.000129526 2.327e-05 0.0001073 1
9.6892 4.39078 4.72182 -0.00901274 -0.00257584 -0.0101136 0
12.6431 9.69547 14.8211 0.000150023 5.54233e-05 0.000154375 1
13.5799 7.2139 1.55277 -0.0110368 0.00636383 0.0085672 0
4.39599 8.98026 6.12639 0.000220483 0.000183593 -0.000220704 1
4.08195 0.646111 11.3761 -0.00514295 0.00343145 0.0101577 0
7.60599 9.01193 11.1284 3.05139e-05 -0.000241537 6.42098e-05 1
8.6487 3.27234 15.0989 0.00252475 0.00879361 0.0038105 0
4.73028 1.68726 7.30436 7.03283e-05 -0.000324719 -9.44983e-05 1
14.1339 5.1995 1.9274 0.00383549 0.0040856 -0.0137273 0
0.00872245 5.64052 4.87656 0.000197711 -0.000293433 2.67571e-05 1
7.73749 11.0721 4.28583 -0.0198394 0.000321722 -0.013527 0
6.46152 1.03778 4.06303 7.0834e-05 -0.000247688 0.000190141 1
11.4037 2.36414 15.9332 0.00482078 -0.000642931 -0.0186121 0
10.8919 8.49553 7.16554 0.000291236 0.000286952 0.000503097 1
1.31283 5.91672 3.87978 0.00727958 0.00298684 0.00476284 0
13.0629 12.7736 2.41238 -1.18918e-05 1.44929e-05 0.000451307 1
13.7499 5.22211 3.51788 0.0113394 -0.00533888 -0.00497945 0
15.048 6.36158 8.28425 -0.000167482 0.000216584 0.000111927 1
11.7745 3.33266 8.66471 0.00445258 -0.00492068 0.00106376 0
