# Step, Time, dt, Total_Energy, Energy_Error(%), Max_Velocity, Max_DivError
0 0.01 0.01 0.154939 0.0140901 0.0369161 0.00102536
10 0.11 0.01 0.1573 1.53821 0.0367636 0.0104927
20 0.21 0.01 0.163448 5.5069 0.0365614 0.0198412
30 0.31 0.01 0.173093 11.7323 0.0362365 0.02897
40 0.41 0.01 0.185752 19.9042 0.0357952 0.0377849
50 0.51 0.01 0.200945 29.7113 0.0352452 0.0462014
60 0.61 0.01 0.218029 40.7392 0.0345962 0.0541463
70 0.71 0.01 0.236343 52.5607 0.0338587 0.0615583
80 0.81 0.01 0.255261 64.7724 0.0330444 0.0683893
90 0.91 0.01 0.274215 77.0077 0.0321658 0.0746052
100 1.01 0.01 0.29276 88.9783 0.0320592 0.0801859
110 1.11 0.01 0.310577 100.479 0.0329716 0.0851255
120 1.21 0.01 0.327472 111.385 0.034196 0.089431
130 1.31 0.01 0.34339 121.66 0.0355347 0.093122
140 1.41 0.01 0.358356 131.321 0.0369712 0.0962293
150 1.51 0.01 0.372492 140.446 0.0384938 0.0987752
160 1.61 0.01 0.38589 149.094 0.0393231 0.100387
170 1.71 0.01 0.398903 157.494 0.040096 0.100941
180 1.81 0.01 0.411828 165.837 0.0410004 0.100488
190 1.91 0.01 0.424957 174.312 0.0420177 0.0998078
